metabolite_name	rt	mz
Broad_HP_mz197.1171_rt2.22	2.22	197.117084699999
Broad_HP_mz152.0817_rt2.32	2.31999999999999	152.081747
Broad_HP_mz309.1907_rt2.38	2.38	309.190652699999
Broad_HP_mz111.0803_rt2.38	2.38	111.080271499999
Broad_HP_mz266.1961_rt2.49	2.49	266.196057199999
Broad_HP_mz397.3785_rt2.42	2.42	397.3785338
Broad_HP_mz436.3995_rt2.42	2.42	436.3994559
Broad_HP_mz468.2438_rt2.42	2.42	468.243840499999
Broad_HP_mz124.0868_rt2.43	2.43	124.0867807
Broad_HP_mz278.2477_rt2.45	2.45	278.2476712
Broad_HP_mz352.2693_rt2.45	2.45	352.269271899999
Broad_HP_mz366.3208_rt2.45	2.45	366.320830399999
Broad_HP_mz556.4415_rt2.45	2.45	556.441500099999
Broad_HP_mz161.1323_rt2.45	2.45	161.1323419
Broad_HP_mz214.18_rt2.45	2.45	214.1799712
Broad_HP_mz228.1956_rt2.45	2.45	228.1956015
Broad_HP_mz229.1796_rt2.45	2.45	229.179618
Broad_HP_mz240.1956_rt2.45	2.45	240.195638699999
Broad_HP_mz259.2377_rt2.51	2.50999999999999	259.237729899999
Broad_HP_mz279.0932_rt2.49	2.49	279.0931517
Broad_HP_mz279.2164_rt2.45	2.45	279.2164088
Broad_HP_mz280.2633_rt2.45	2.45	280.263315999999
Broad_HP_mz294.2426_rt2.45	2.45	294.2426226
Broad_HP_mz296.2583_rt2.45	2.45	296.258252299999
Broad_HP_mz300.2895_rt2.45	2.45	300.289508599999
Broad_HP_mz308.2218_rt2.36	2.36	308.221829099999
Broad_HP_mz312.2532_rt2.45	2.45	312.2531536
Broad_HP_mz315.1337_rt2.44	2.44	315.133719199999
Broad_HP_mz338.2536_rt2.56	2.56	338.253630499999
Broad_HP_mz342.2273_rt2.52	2.52	342.2272851
Broad_HP_mz382.2949_rt2.45	2.45	382.294912399999
Broad_HP_mz396.3316_rt2.46	2.46	396.331621799999
Broad_HP_mz413.3735_rt2.45	2.45	413.373472999999
Broad_HP_mz426.306_rt2.44	2.44	426.305953199999
Broad_HP_mz438.3425_rt2.45	2.45	438.3424595
Broad_HP_mz438.3787_rt2.45	2.45	438.3786536
Broad_HP_mz444.3319_rt2.45	2.45	444.331929699999
