sample_id	sample_type	sample_order	raw_file	extraction_date	acquisition_date	lc_column_id
13521011003	Sample	40	B0023_MoTrPAC_Tranche4_HumanMuscle_HP-13521011003.raw	2025-03-13	2025-03-14	186002015_01143426718802
13521041003	Sample	41	B0024_MoTrPAC_Tranche4_HumanMuscle_HP-13521041003.raw	2025-03-13	2025-03-14	186002015_01143426718802
12034011003	Sample	42	B0025_MoTrPAC_Tranche4_HumanMuscle_HP-12034011003.raw	2025-03-13	2025-03-14	186002015_01143426718802
12034021003	Sample	43	B0026_MoTrPAC_Tranche4_HumanMuscle_HP-12034021003.raw	2025-03-13	2025-03-14	186002015_01143426718802
12389031003	Sample	44	B0027_MoTrPAC_Tranche4_HumanMuscle_HP-12389031003.raw	2025-03-13	2025-03-14	186002015_01143426718802
12389011003	Sample	45	B0028_MoTrPAC_Tranche4_HumanMuscle_HP-12389011003.raw	2025-03-13	2025-03-14	186002015_01143426718802
12757011003	Sample	46	B0029_MoTrPAC_Tranche4_HumanMuscle_HP-12757011003.raw	2025-03-13	2025-03-14	186002015_01143426718802
12757031003	Sample	47	B0030_MoTrPAC_Tranche4_HumanMuscle_HP-12757031003.raw	2025-03-13	2025-03-14	186002015_01143426718802
12463021003	Sample	48	B0031_MoTrPAC_Tranche4_HumanMuscle_HP-12463021003.raw	2025-03-13	2025-03-14	186002015_01143426718802
12463011003	Sample	49	B0032_MoTrPAC_Tranche4_HumanMuscle_HP-12463011003.raw	2025-03-13	2025-03-14	186002015_01143426718802
12113011003	Sample	50	B0033_MoTrPAC_Tranche4_HumanMuscle_HP-12113011003.raw	2025-03-13	2025-03-14	186002015_01143426718802
12113041003	Sample	51	B0034_MoTrPAC_Tranche4_HumanMuscle_HP-12113041003.raw	2025-03-13	2025-03-14	186002015_01143426718802
12113031003	Sample	52	B0035_MoTrPAC_Tranche4_HumanMuscle_HP-12113031003.raw	2025-03-13	2025-03-14	186002015_01143426718802
12113021003	Sample	53	B0036_MoTrPAC_Tranche4_HumanMuscle_HP-12113021003.raw	2025-03-13	2025-03-14	186002015_01143426718802
12518041003	Sample	54	B0037_MoTrPAC_Tranche4_HumanMuscle_HP-12518041003.raw	2025-03-13	2025-03-14	186002015_01143426718802
12518011003	Sample	55	B0038_MoTrPAC_Tranche4_HumanMuscle_HP-12518011003.raw	2025-03-13	2025-03-14	186002015_01143426718802
11429031003	Sample	56	B0039_MoTrPAC_Tranche4_HumanMuscle_HP-11429031003.raw	2025-03-13	2025-03-14	186002015_01143426718802
11429021003	Sample	57	B0040_MoTrPAC_Tranche4_HumanMuscle_HP-11429021003.raw	2025-03-13	2025-03-14	186002015_01143426718802
QC_PREFA03	QC-DriftCorrection	58	B0040a_MoTrPAC_Tranche4_HumanMuscle_HP-PREFA03.raw	2025-03-13	2025-03-14	186002015_01143426718802
QC_PREFB03	QC-Pooled	59	B0040b_MoTrPAC_Tranche4_HumanMuscle_HP-PREFB03.raw	2025-03-13	2025-03-14	186002015_01143426718802
11429041003	Sample	60	B0041_MoTrPAC_Tranche4_HumanMuscle_HP-11429041003.raw	2025-03-13	2025-03-14	186002015_01143426718802
11429011003	Sample	61	B0042_MoTrPAC_Tranche4_HumanMuscle_HP-11429011003.raw	2025-03-13	2025-03-14	186002015_01143426718802
